name,year,value,rank,lastValue
Alabama,1917,.14684194,27,
Alabama,1918,.118173,35,.14684194
Alabama,1919,.13536832,23,.118173
Alabama,1920,.12427565,26,.13536832
Alabama,1921,.13722247,19,.12427565
Alabama,1922,.14532742,23,.13722247
Alabama,1923,.13786235,19,.14532742
Alabama,1924,.14880998,24,.13786235
Alabama,1925,.16211683,26,.14880998
Alabama,1926,.15553559,31,.16211683
Alabama,1927,.15953854,31,.15553559
Alabama,1928,.17991564,29,.15953854
Alabama,1929,.1458481,30,.17991564
Alabama,1930,.14803919,20,.1458481
Alabama,1931,.14900896,15,.14803919
Alabama,1932,.15204334,12,.14900896
Alabama,1933,.14873475,20,.15204334
Alabama,1934,.14114332,30,.14873475
Alabama,1935,.14457567,26,.14114332
Alabama,1936,.16016498,30,.14457567
Alabama,1937,.15894517,21,.16016498
Alabama,1938,.15535407,18,.15894517
Alabama,1939,.16808051,12,.15535407
Alabama,1940,.17045929,12,.16808051
Alabama,1941,.16529922,10,.17045929
Alabama,1942,.13658918,14,.16529922
Alabama,1943,.12123875,15,.13658918
Alabama,1944,.12883304,10,.12123875
Alabama,1945,.11444935,23,.12883304
Alabama,1946,.13852142,12,.11444935
Alabama,1947,.12528448,13,.13852142
Alabama,1948,.12090981,18,.12528448
Alabama,1949,.11846946,13,.12090981
Alabama,1950,.12940107,15,.11846946
Alabama,1951,.11432935,19,.12940107
Alabama,1952,.10525887,18,.11432935
Alabama,1953,.099083237,11,.10525887
Alabama,1954,.10936058,14,.099083237
Alabama,1955,.1123113,13,.10936058
Alabama,1956,.10593504,17,.1123113
Alabama,1957,.096652031,23,.10593504
Alabama,1958,.10112062,15,.096652031
Alabama,1959,.10482517,15,.10112062
Alabama,1960,.098394431,16,.10482517
Alabama,1961,.092662387,32,.098394431
Alabama,1962,.094930284,20,.092662387
Alabama,1963,.099709764,14,.094930284
Alabama,1964,.10105573,20,.099709764
Alabama,1965,.10356634,22,.10105573
Alabama,1966,.10216685,16,.10356634
Alabama,1967,.099851683,21,.10216685
Alabama,1968,.10319023,22,.099851683
Alabama,1969,.096458465,21,.10319023
Alabama,1970,.090395421,16,.096458465
Alabama,1971,.096662752,12,.090395421
Alabama,1972,.097681522,13,.096662752
Alabama,1973,.097010247,12,.097681522
Alabama,1974,.09306106,17,.097010247
Alabama,1975,.096357539,9,.09306106
Alabama,1976,.092843428,13,.096357539
Alabama,1977,.093871087,11,.092843428
Alabama,1978,.087993078,19,.093871087
Alabama,1979,.095937848,19,.087993078
Alabama,1980,.098876402,16,.095937848
Alabama,1981,.095915832,21,.098876402
Alabama,1982,.10832576,15,.095915832
Alabama,1983,.12342149,8,.10832576
Alabama,1984,.11976109,12,.12342149
Alabama,1985,.11888529,17,.11976109
Alabama,1986,.15105735,17,.11888529
Alabama,1987,.1152117,19,.15105735
Alabama,1988,.13595377,19,.1152117
Alabama,1989,.12888432,18,.13595377
Alabama,1990,.12429698,23,.12888432
Alabama,1991,.12239989,18,.12429698
Alabama,1992,.13409428,18,.12239989
Alabama,1993,.12996149,20,.13409428
Alabama,1994,.13721506,13,.12996149
Alabama,1995,.14443251,14,.13721506
Alabama,1996,.14904355,21,.14443251
Alabama,1997,.15287834,26,.14904355
Alabama,1998,.15784982,27,.15287834
Alabama,1999,.15854245,28,.15784982
Alabama,2000,.15480925,33,.15854245
Alabama,2001,.14073196,27,.15480925
Alabama,2002,.14155427,24,.14073196
Alabama,2003,.14634295,21,.14155427
Alabama,2004,.16122709,24,.14634295
Alabama,2005,.18459558,20,.16122709
Alabama,2006,.20425999,18,.18459558
Alabama,2007,.19958141,20,.20425999
Alabama,2008,.17875057,19,.19958141
Alabama,2009,.153245,27,.17875057
Alabama,2010,.16659693,22,.153245
Alabama,2011,.16066383,26,.16659693
Alabama,2012,.16656931,37,.16066383
Alabama,2013,.147753,35,.16656931
Alabama,2014,.15751931,38,.147753
Alaska,1917,.02878635,51,
Alaska,1918,.013274099,51,.02878635
Alaska,1919,.010774342,51,.013274099
Alaska,1920,.012409587,51,.010774342
Alaska,1921,.021215942,51,.012409587
Alaska,1922,.020879362,51,.021215942
Alaska,1923,.019759368,51,.020879362
Alaska,1924,.023769006,51,.019759368
Alaska,1925,.03164826,51,.023769006
Alaska,1926,.045934092,51,.03164826
Alaska,1927,.047580041,51,.045934092
Alaska,1928,.053341996,51,.047580041
Alaska,1929,.029991224,51,.053341996
Alaska,1930,.030744743,51,.029991224
Alaska,1931,.03133918,51,.030744743
Alaska,1932,.031026244,51,.03133918
Alaska,1933,.033711825,51,.031026244
Alaska,1934,.037047409,51,.033711825
Alaska,1935,.04071876,51,.037047409
Alaska,1936,.044969924,51,.04071876
Alaska,1937,.044214398,51,.044969924
Alaska,1938,.044535015,51,.044214398
Alaska,1939,.053359743,51,.044535015
Alaska,1940,.058685862,51,.053359743
Alaska,1941,.061208688,51,.058685862
Alaska,1942,.063179776,51,.061208688
Alaska,1943,.0533625,51,.063179776
Alaska,1944,.060539149,51,.0533625
Alaska,1945,.045405339,51,.060539149
Alaska,1946,.04516463,51,.045405339
Alaska,1947,.041395411,51,.04516463
Alaska,1948,.044264611,51,.041395411
Alaska,1949,.040276323,51,.044264611
Alaska,1950,.042214461,51,.040276323
Alaska,1951,.033749998,51,.042214461
Alaska,1952,.044913098,51,.033749998
Alaska,1953,.04090441,51,.044913098
Alaska,1954,.043025449,51,.04090441
Alaska,1955,.034453366,51,.043025449
Alaska,1956,.033525098,51,.034453366
Alaska,1957,.040666278,51,.033525098
Alaska,1958,.043497693,51,.040666278
Alaska,1959,.041448824,51,.043497693
Alaska,1960,.04675629,51,.041448824
Alaska,1961,.053474065,51,.04675629
Alaska,1962,.046091598,51,.053474065
Alaska,1963,.046075232,51,.046091598
Alaska,1964,.055719223,51,.046075232
Alaska,1965,.059369881,51,.055719223
Alaska,1966,.049822226,51,.059369881
Alaska,1967,.051868886,51,.049822226
Alaska,1968,.051297575,51,.051868886
Alaska,1969,.051319331,51,.051297575
Alaska,1970,.049761668,51,.051319331
Alaska,1971,.052367914,51,.049761668
Alaska,1972,.052032311,51,.052367914
Alaska,1973,.055236079,51,.052032311
Alaska,1974,.088251315,26,.055236079
Alaska,1975,.047505867,51,.088251315
Alaska,1976,.043228872,51,.047505867
Alaska,1977,.04777142,51,.043228872
Alaska,1978,.048968259,51,.04777142
Alaska,1979,.052953318,51,.048968259
Alaska,1980,.051912554,51,.052953318
Alaska,1981,.056407373,51,.051912554
Alaska,1982,.074497133,51,.056407373
Alaska,1983,.084618807,51,.074497133
Alaska,1984,.065398358,51,.084618807
Alaska,1985,.048414014,51,.065398358
Alaska,1986,.086081348,51,.048414014
Alaska,1987,.076011017,51,.086081348
Alaska,1988,.085048713,51,.076011017
Alaska,1989,.089877486,51,.085048713
Alaska,1990,.11340626,41,.089877486
Alaska,1991,.084151,51,.11340626
Alaska,1992,.08938922,51,.084151
